videoId	title	views	impressions	ctr	watch_time	subs	thumb
VG3aoxcYyvw	I Tried Hermes Desktop. It Might Replace My AI Agent Setup	8.17	9.88	121.99	5.33	14.63	https://i9.ytimg.com/vi/VG3aoxcYyvw/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBNKEMwDw==&rs=AOn4CLAdBaDT95wCRHvEzLgU60EMMUQbig
0WIlRc5wOoY	I built a custom Hermes plugin. #HermesAgent #Claudecode #openaicodex #openclaw #nousresearch	5.13	0.43	64.6	1.02	1.22	https://i9.ytimg.com/vi/0WIlRc5wOoY/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AG2CIACgA-KAgwIABABGEAgZShaMA8=&rs=AOn4CLBco2mQnR6HYh_KwiS100prcKIGDw
u_4IFwHss2E	I Deleted Half My AI Agent’s Skills	5.13	0.27	60.14	0.87	3.66	https://i9.ytimg.com/vi/u_4IFwHss2E/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPSBVKHIwDw==&rs=AOn4CLDk2AC_YtZfKv2SxHdh29SdZ4mTQw
NOPh68xi2iQ	I Built Hermes From Source to Fix My Own Bug	5.05	0.86	53.95	1.59	6.1	https://i9.ytimg.com/vi/NOPh68xi2iQ/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYKyA6KH8wDw==&rs=AOn4CLCk2ngxHJrTljt4XanJKdayo7EbDQ
hn9tEcX-1gQ	best LLM for code #deepseek #magiccoder #gpt4 #claude #opus	4.22	6.84	70.45	1.91	2.44	https://i9.ytimg.com/vi/hn9tEcX-1gQ/maxresdefault.jpg?v=65f8d59b&sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBCKC0wDw==&rs=AOn4CLCbVrnf_RkHgSnfSd-IcFMDPuU11g
_Zok_jVo-Ss	Hermes Agent has built-in checkpoints for coding agents. #hermesagent  #AIAgents #claudecode	3.76	0.95	25.09	0.52	0	https://i9.ytimg.com/vi/_Zok_jVo-Ss/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPyBRKGUwDw==&rs=AOn4CLCHhqH1xw9ve1TfCdr8HnQfBwWNMQ
ZdMNPg-gdoY	I made my hermes device into a RMTP server	3.15	0.03	0	0.61	0	https://i9.ytimg.com/vi/ZdMNPg-gdoY/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPyBWKHIwDw==&rs=AOn4CLB4yzOyDTJGXOQMrUbOT2d9AtJ4hg
Q38K044vZiI	Cline is expensive  #sonnet #aicoding #vscode #copilot #github #pearai	3.07	4.25	107.9	1.24	2.44	https://i9.ytimg.com/vi/Q38K044vZiI/maxresdefault.jpg?v=67276c88&sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYQCBPKGUwDw==&rs=AOn4CLBtGcxueZmOdkgw4LWWL2GhnPIdgg
qhIowZrY_jU	Hermes Remote Dashboard is now my Main	3.03	0.67	147.08	0.62	0	https://i9.ytimg.com/vi/qhIowZrY_jU/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AG2CIACgA-KAgwIABABGDEgZShfMA8=&rs=AOn4CLBKbtg97pF0eRdede--OBPlO9etcw
QhUnSQtO4Ik	I finally used my first Codex reset. #openaicodex #claudecode	2.96	0.49	148.45	0.68	0	https://i9.ytimg.com/vi/QhUnSQtO4Ik/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPSBTKGUwDw==&rs=AOn4CLAebjKfoqNIPqwixVrvdUfAEz2-6Q
8AgkNqt1Fbk	my open ai API usage costs	2.74	3.34	104.81	0.71	0	https://i9.ytimg.com/vi/8AgkNqt1Fbk/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBFKF0wDw==&rs=AOn4CLAGnsCXKB57D8hJMFHKKCAJ7h-hKg
84af5FZjM-c	Claude just extended Fable 5 access	2.33	0.41	60.82	0.21	0	https://i9.ytimg.com/vi/84af5FZjM-c/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBbKFowDw==&rs=AOn4CLD3LEztF7NSRKbUdE4It0n9M9WB5w
mZttSMsvLS8	open source TTS and voice cloning  #waifu #ai #sillytavern	2.24	4.08	86.25	1.18	0	https://i9.ytimg.com/vi/mZttSMsvLS8/maxresdefault.jpg?v=663603a8&sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYfyBIKBUwDw==&rs=AOn4CLDpU4SR0aI1JKp__UAmgzuRvqSdng
WnOjWMVmrtg	llamafile now on Android. run local models off your phone. #localllama #ai #llm #tinyllama	1.22	2.15	62.54	0.46	3.66	https://i9.ytimg.com/vi/WnOjWMVmrtg/maxresdefault.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYESByKBEwDw==&rs=AOn4CLAKzPRM3pAWuCZpS-gKzoLc-xEMxA
cW3KD9bm1PM	Fresh Mac to AI Agent in 3 Minutes (Hermes Agent Desktop)	1.16	3.38	97.94	1.54	3.66	https://i9.ytimg.com/vi/cW3KD9bm1PM/maxresdefault.jpg?v=6a3a4857&sqp=CLSO8NEG&rs=AOn4CLB2YK1LyQcGCPMhXDcZt67ODXZeaQ
av7A26qxsnw	how to get around debugger block #devtools #debugging #stackoverflow #google #hack #hacks #hacker	1.13	1.38	128.87	0.55	0	https://i9.ytimg.com/vi/av7A26qxsnw/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBVKFgwDw==&rs=AOn4CLB9QKJzS1yYvY0NsYmuZiBHYyRZNw
oy9Xo4BY3Bs	transcribe anything for free  super fast and securely! #github #transcription #python #opensource	1.1	1.03	209.62	0.62	1.22	https://i9.ytimg.com/vi/oy9Xo4BY3Bs/maxresdefault.jpg?v=684d47b7&sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYTCBRKGUwDw==&rs=AOn4CLBVB2muLpu2BYwzrc9pwjYkkMU5Wg
4-haimQyBjg	I Gave My AI Agent Its Own Soul.md #hermesagent	1.06	0.36	29.9	0.55	0	https://i9.ytimg.com/vi/4-haimQyBjg/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYRCBcKHIwDw==&rs=AOn4CLCdJHv2-PGOcA_b9N7c8sF6mMTYaQ
